"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Compravendes","Nombre"
"2019","1","4","Les Corts","20","la Maternitat i Sant Ramon","Habitatge nou protegit",0
"2019","1","4","Les Corts","21","Pedralbes","Habitatge nou protegit",0
"2019","1","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","Habitatge nou protegit",0
"2019","1","5","Sarrià-Sant Gervasi","23","Sarrià","Habitatge nou protegit",0
"2019","1","5","Sarrià-Sant Gervasi","24","les Tres Torres","Habitatge nou protegit",0
"2019","1","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","Habitatge nou protegit",0
"2019","1","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany","Habitatge nou protegit",0
"2019","1","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró","Habitatge nou protegit",0
"2019","1","6","Gràcia","28","Vallcarca i els Penitents","Habitatge nou protegit",0
"2019","1","6","Gràcia","29","el Coll","Habitatge nou protegit",1
"2019","1","6","Gràcia","30","la Salut","Habitatge nou protegit",0
"2019","1","6","Gràcia","31","la Vila de Gràcia","Habitatge nou protegit",0
"2019","1","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova","Habitatge nou protegit",0
"2019","1","7","Horta-Guinardó","33","el Baix Guinardó","Habitatge nou protegit",0
"2019","1","7","Horta-Guinardó","34","Can Baró","Habitatge nou protegit",0
"2019","1","7","Horta-Guinardó","35","el Guinardó","Habitatge nou protegit",0
"2019","1","7","Horta-Guinardó","36","la Font d'en Fargues","Habitatge nou protegit",0
"2019","1","7","Horta-Guinardó","37","el Carmel","Habitatge nou protegit",2
"2019","1","7","Horta-Guinardó","38","la Teixonera","Habitatge nou protegit",0
"2019","1","7","Horta-Guinardó","39","Sant Genís dels Agudells","Habitatge nou protegit",0
"2019","1","7","Horta-Guinardó","40","Montbau","Habitatge nou protegit",0
"2019","1","7","Horta-Guinardó","41","la Vall d'Hebron","Habitatge nou protegit",0
"2019","1","7","Horta-Guinardó","42","la Clota","Habitatge nou protegit",0
"2019","1","7","Horta-Guinardó","43","Horta","Habitatge nou protegit",0
"2019","1","8","Nou Barris","44","Vilapicina i la Torre Llobeta","Habitatge nou protegit",0
"2019","1","8","Nou Barris","45","Porta","Habitatge nou protegit",0
"2019","1","8","Nou Barris","46","el Turó de la Peira","Habitatge nou protegit",0
"2019","1","8","Nou Barris","47","Can Peguera","Habitatge nou protegit",0
"2019","1","8","Nou Barris","48","la Guineueta","Habitatge nou protegit",0
"2019","1","8","Nou Barris","49","Canyelles","Habitatge nou protegit",0
"2019","1","8","Nou Barris","50","les Roquetes","Habitatge nou protegit",0
"2019","1","8","Nou Barris","51","Verdun","Habitatge nou protegit",0
"2019","1","8","Nou Barris","52","la Prosperitat","Habitatge nou protegit",0
