"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor","Estat"
"2019","1","7","Horta-Guinardó","43","Horta",3752,"Nou"
"2019","1","9","Sant Andreu","60","Sant Andreu",3897,"Nou"
"2019","1","10","Sant Martí","64","el Camp de l'Arpa del Clot",4534,"Nou"
"2019","1","10","Sant Martí","65","el Clot",4866,"Nou"
"2019","1","10","Sant Martí","68","el Poblenou",4413,"Nou"
"2019","1","10","Sant Martí","70","el Besòs i el Maresme",4260,"Nou"
"2019","1","10","Sant Martí","72","Sant Martí de Provençals",4833,"Nou"
"2019","1","10","Sant Martí","73","la Verneda i la Pau",2683,"Nou"
"2019","1","1","Ciutat Vella","1","el Raval",3625,"Usat"
"2019","1","1","Ciutat Vella","2","el Barri Gòtic",4457,"Usat"
"2019","1","1","Ciutat Vella","3","la Barceloneta",5154,"Usat"
"2019","1","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",4653,"Usat"
"2019","1","2","Eixample","5","el Fort Pienc",4437,"Usat"
"2019","1","2","Eixample","6","la Sagrada Família",4379,"Usat"
"2019","1","2","Eixample","7","la Dreta de l'Eixample",4730,"Usat"
"2019","1","2","Eixample","8","l'Antiga Esquerra de l'Eixample",4293,"Usat"
"2019","1","2","Eixample","9","la Nova Esquerra de l'Eixample",4694,"Usat"
"2019","1","2","Eixample","10","Sant Antoni",4459,"Usat"
"2019","1","3","Sants-Montjuïc","11","el Poble Sec",4563,"Usat"
"2019","1","3","Sants-Montjuïc","13","la Marina de Port",2894,"Usat"
"2019","1","3","Sants-Montjuïc","14","la Font de la Guatlla",3906,"Usat"
"2019","1","3","Sants-Montjuïc","15","Hostafrancs",3209,"Usat"
"2019","1","3","Sants-Montjuïc","16","la Bordeta",2898,"Usat"
"2019","1","3","Sants-Montjuïc","17","Sants - Badal",3077,"Usat"
"2019","1","3","Sants-Montjuïc","18","Sants",3681,"Usat"
"2019","1","4","Les Corts","19","les Corts",4752,"Usat"
"2019","1","4","Les Corts","20","la Maternitat i Sant Ramon",4551,"Usat"
"2019","1","4","Les Corts","21","Pedralbes",6064,"Usat"
"2019","1","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",4614,"Usat"
"2019","1","5","Sarrià-Sant Gervasi","23","Sarrià",6404,"Usat"
"2019","1","5","Sarrià-Sant Gervasi","24","les Tres Torres",6191,"Usat"
"2019","1","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",5666,"Usat"
"2019","1","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",4986,"Usat"
"2019","1","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",4503,"Usat"
"2019","1","6","Gràcia","28","Vallcarca i els Penitents",3402,"Usat"
"2019","1","6","Gràcia","29","el Coll",2958,"Usat"
"2019","1","6","Gràcia","30","la Salut",4314,"Usat"
"2019","1","6","Gràcia","31","la Vila de Gràcia",5270,"Usat"
"2019","1","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova",4254,"Usat"
"2019","1","7","Horta-Guinardó","33","el Baix Guinardó",3915,"Usat"
"2019","1","7","Horta-Guinardó","34","Can Baró",3575,"Usat"
"2019","1","7","Horta-Guinardó","35","el Guinardó",3307,"Usat"
"2019","1","7","Horta-Guinardó","36","la Font d'en Fargues",2410,"Usat"
"2019","1","7","Horta-Guinardó","37","el Carmel",2764,"Usat"
"2019","1","7","Horta-Guinardó","38","la Teixonera",2337,"Usat"
"2019","1","7","Horta-Guinardó","39","Sant Genís dels Agudells",2392,"Usat"
"2019","1","7","Horta-Guinardó","40","Montbau",2399,"Usat"
"2019","1","7","Horta-Guinardó","41","la Vall d'Hebron",4268,"Usat"
"2019","1","7","Horta-Guinardó","43","Horta",3309,"Usat"
"2019","1","8","Nou Barris","44","Vilapicina i la Torre Llobeta",3592,"Usat"
"2019","1","8","Nou Barris","45","Porta",2762,"Usat"
"2019","1","8","Nou Barris","46","el Turó de la Peira",2322,"Usat"
"2019","1","8","Nou Barris","48","la Guineueta",2779,"Usat"
"2019","1","8","Nou Barris","49","Canyelles",2112,"Usat"
"2019","1","8","Nou Barris","50","les Roquetes",2811,"Usat"
"2019","1","8","Nou Barris","51","Verdun",2298,"Usat"
"2019","1","8","Nou Barris","52","la Prosperitat",2155,"Usat"
"2019","1","8","Nou Barris","53","la Trinitat Nova",1568,"Usat"
"2019","1","8","Nou Barris","55","Ciutat Meridiana",1533,"Usat"
"2019","1","9","Sant Andreu","57","la Trinitat Vella",2440,"Usat"
"2019","1","9","Sant Andreu","59","el Bon Pastor",2213,"Usat"
"2019","1","9","Sant Andreu","60","Sant Andreu",2940,"Usat"
"2019","1","9","Sant Andreu","61","la Sagrera",3561,"Usat"
"2019","1","9","Sant Andreu","62","el Congrés i els Indians",3394,"Usat"
"2019","1","9","Sant Andreu","63","Navas",4505,"Usat"
"2019","1","10","Sant Martí","64","el Camp de l'Arpa del Clot",3884,"Usat"
"2019","1","10","Sant Martí","65","el Clot",4132,"Usat"
"2019","1","10","Sant Martí","66","el Parc i la Llacuna del Poblenou",4062,"Usat"
"2019","1","10","Sant Martí","67","la Vila Olímpica del Poblenou",5485,"Usat"
"2019","1","10","Sant Martí","68","el Poblenou",4361,"Usat"
"2019","1","10","Sant Martí","69","Diagonal Mar i el Front Marítim del Poblenou",4519,"Usat"
"2019","1","10","Sant Martí","70","el Besòs i el Maresme",3420,"Usat"
"2019","1","10","Sant Martí","71","Provençals del Poblenou",4969,"Usat"
"2019","1","10","Sant Martí","72","Sant Martí de Provençals",3597,"Usat"
"2019","1","10","Sant Martí","73","la Verneda i la Pau",2471,"Usat"
"2019","2","1","Ciutat Vella","1","el Raval",3838,"Total"
"2019","2","1","Ciutat Vella","2","el Barri Gòtic",5630,"Total"
"2019","2","1","Ciutat Vella","3","la Barceloneta",4556,"Total"
"2019","2","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",4032,"Total"
"2019","2","2","Eixample","5","el Fort Pienc",6345,"Total"
"2019","2","2","Eixample","6","la Sagrada Família",4414,"Total"
"2019","2","2","Eixample","7","la Dreta de l'Eixample",5554,"Total"
"2019","2","2","Eixample","8","l'Antiga Esquerra de l'Eixample",5013,"Total"
"2019","2","2","Eixample","9","la Nova Esquerra de l'Eixample",4198,"Total"
"2019","2","2","Eixample","10","Sant Antoni",4223,"Total"
"2019","2","3","Sants-Montjuïc","11","el Poble Sec",4003,"Total"
"2019","2","3","Sants-Montjuïc","13","la Marina de Port",2832,"Total"
"2019","2","3","Sants-Montjuïc","14","la Font de la Guatlla",4566,"Total"
"2019","2","3","Sants-Montjuïc","15","Hostafrancs",4492,"Total"
"2019","2","3","Sants-Montjuïc","16","la Bordeta",3285,"Total"
"2019","2","3","Sants-Montjuïc","17","Sants - Badal",3325,"Total"
"2019","2","3","Sants-Montjuïc","18","Sants",3730,"Total"
"2019","2","4","Les Corts","19","les Corts",4874,"Total"
"2019","2","4","Les Corts","20","la Maternitat i Sant Ramon",4028,"Total"
"2019","2","4","Les Corts","21","Pedralbes",6651,"Total"
"2019","2","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",4600,"Total"
"2019","2","5","Sarrià-Sant Gervasi","23","Sarrià",6311,"Total"
"2019","2","5","Sarrià-Sant Gervasi","24","les Tres Torres",5203,"Total"
"2019","2","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",5725,"Total"
"2019","2","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",5335,"Total"
"2019","2","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",4842,"Total"
"2019","2","6","Gràcia","28","Vallcarca i els Penitents",3516,"Total"
"2019","2","6","Gràcia","29","el Coll",2331,"Total"
"2019","2","6","Gràcia","30","la Salut",4467,"Total"
"2019","2","6","Gràcia","31","la Vila de Gràcia",4835,"Total"
"2019","2","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova",4274,"Total"
"2019","2","7","Horta-Guinardó","33","el Baix Guinardó",3803,"Total"
"2019","2","7","Horta-Guinardó","34","Can Baró",3293,"Total"
"2019","2","7","Horta-Guinardó","35","el Guinardó",3347,"Total"
"2019","2","7","Horta-Guinardó","36","la Font d'en Fargues",3407,"Total"
"2019","2","7","Horta-Guinardó","37","el Carmel",2638,"Total"
"2019","2","7","Horta-Guinardó","38","la Teixonera",2405,"Total"
"2019","2","7","Horta-Guinardó","39","Sant Genís dels Agudells",2266,"Total"
"2019","2","7","Horta-Guinardó","40","Montbau",2694,"Total"
"2019","2","7","Horta-Guinardó","41","la Vall d'Hebron",3664,"Total"
"2019","2","7","Horta-Guinardó","43","Horta",2936,"Total"
"2019","2","8","Nou Barris","44","Vilapicina i la Torre Llobeta",2669,"Total"
"2019","2","8","Nou Barris","45","Porta",2949,"Total"
"2019","2","8","Nou Barris","46","el Turó de la Peira",2062,"Total"
"2019","2","8","Nou Barris","48","la Guineueta",2716,"Total"
"2019","2","8","Nou Barris","49","Canyelles",2493,"Total"
"2019","2","8","Nou Barris","50","les Roquetes",2351,"Total"
"2019","2","8","Nou Barris","51","Verdun",2200,"Total"
"2019","2","8","Nou Barris","52","la Prosperitat",1954,"Total"
"2019","2","8","Nou Barris","53","la Trinitat Nova",1847,"Total"
"2019","2","8","Nou Barris","55","Ciutat Meridiana",1584,"Total"
"2019","2","8","Nou Barris","56","Vallbona",1152,"Total"
"2019","2","9","Sant Andreu","57","la Trinitat Vella",3265,"Total"
"2019","2","9","Sant Andreu","59","el Bon Pastor",2045,"Total"
"2019","2","9","Sant Andreu","60","Sant Andreu",3380,"Total"
"2019","2","9","Sant Andreu","61","la Sagrera",3854,"Total"
"2019","2","9","Sant Andreu","62","el Congrés i els Indians",2804,"Total"
"2019","2","9","Sant Andreu","63","Navas",4168,"Total"
"2019","2","10","Sant Martí","64","el Camp de l'Arpa del Clot",4116,"Total"
"2019","2","10","Sant Martí","65","el Clot",4393,"Total"
"2019","2","10","Sant Martí","66","el Parc i la Llacuna del Poblenou",4040,"Total"
"2019","2","10","Sant Martí","67","la Vila Olímpica del Poblenou",4893,"Total"
"2019","2","10","Sant Martí","68","el Poblenou",4514,"Total"
"2019","2","10","Sant Martí","69","Diagonal Mar i el Front Marítim del Poblenou",7084,"Total"
"2019","2","10","Sant Martí","70","el Besòs i el Maresme",3877,"Total"
"2019","2","10","Sant Martí","71","Provençals del Poblenou",4335,"Total"
"2019","2","10","Sant Martí","72","Sant Martí de Provençals",3443,"Total"
"2019","2","10","Sant Martí","73","la Verneda i la Pau",2488,"Total"
"2019","2","1","Ciutat Vella","1","el Raval",6927,"Nou"
"2019","2","1","Ciutat Vella","2","el Barri Gòtic",7267,"Nou"
