"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor"
"2019","1","3","Sants-Montjuïc","11","el Poble Sec",324
"2019","1","3","Sants-Montjuïc","13","la Marina de Port",197
"2019","1","3","Sants-Montjuïc","14","la Font de la Guatlla",247
"2019","1","3","Sants-Montjuïc","15","Hostafrancs",214
"2019","1","3","Sants-Montjuïc","16","la Bordeta",188
"2019","1","3","Sants-Montjuïc","17","Sants - Badal",239
"2019","1","3","Sants-Montjuïc","18","Sants",290
"2019","1","4","Les Corts","19","les Corts",397
"2019","1","4","Les Corts","20","la Maternitat i Sant Ramon",410
"2019","1","4","Les Corts","21","Pedralbes",1016
"2019","1","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",380
"2019","1","5","Sarrià-Sant Gervasi","23","Sarrià",747
"2019","1","5","Sarrià-Sant Gervasi","24","les Tres Torres",853
"2019","1","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",794
"2019","1","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",553
"2019","1","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",452
"2019","1","6","Gràcia","28","Vallcarca i els Penitents",289
"2019","1","6","Gràcia","29","el Coll",228
"2019","1","6","Gràcia","30","la Salut",379
"2019","1","6","Gràcia","31","la Vila de Gràcia",470
"2019","1","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova",340
"2019","1","7","Horta-Guinardó","33","el Baix Guinardó",280
"2019","1","7","Horta-Guinardó","34","Can Baró",252
"2019","1","7","Horta-Guinardó","35","el Guinardó",262
"2019","1","7","Horta-Guinardó","36","la Font d'en Fargues",205
"2019","1","7","Horta-Guinardó","37","el Carmel",232
"2019","1","7","Horta-Guinardó","38","la Teixonera",153
"2019","1","7","Horta-Guinardó","39","Sant Genís dels Agudells",170
"2019","1","7","Horta-Guinardó","40","Montbau",167
"2019","1","7","Horta-Guinardó","41","la Vall d'Hebron",222
"2019","1","7","Horta-Guinardó","43","Horta",268
