"Any","Nom_Districte","Nom_Barri","media"
"2020","Sant Andreu","Baró de Viver",3406
"2020","Sant Andreu","el Bon Pastor",2300
"2020","Sant Andreu","el Congrés i els Indians",5209
"2020","Sant Andreu","la Sagrera",3644
"2020","Sant Andreu","la Trinitat Vella",1786
"2020","Sant Andreu","Navas",4120
"2020","Sant Andreu","Sant Andreu",3657
"2020","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou",5579
"2020","Sant Martí","el Besòs i el Maresme",2618
"2020","Sant Martí","el Camp de l'Arpa del Clot",3992
"2020","Sant Martí","el Clot",3989
"2020","Sant Martí","el Parc i la Llacuna del Poblenou",4786
"2020","Sant Martí","el Poblenou",5033
"2020","Sant Martí","la Verneda i la Pau",2431
"2020","Sant Martí","la Vila Olímpica del Poblenou",4886
"2020","Sant Martí","Provençals del Poblenou",3596
"2020","Sant Martí","Sant Martí de Provençals",2913
"2020","Sants-Montjuïc","el Poble Sec",3948
"2020","Sants-Montjuïc","Hostafrancs",3464
"2020","Sants-Montjuïc","la Bordeta",4249
"2020","Sants-Montjuïc","la Font de la Guatlla",3590
"2020","Sants-Montjuïc","la Marina de Port",3068
"2020","Sants-Montjuïc","la Marina del Prat Vermell",2309
"2020","Sants-Montjuïc","Sants",4131
"2020","Sants-Montjuïc","Sants - Badal",3834
"2020","Sarrià-Sant Gervasi","el Putxet i el Farró",4792
"2020","Sarrià-Sant Gervasi","les Tres Torres",5362
"2020","Sarrià-Sant Gervasi","Sant Gervasi - Galvany",5584
"2020","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",5366
"2020","Sarrià-Sant Gervasi","Sarrià",7913
"2020","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",3746
"2021","Ciutat Vella","el Barri Gòtic",4198
"2021","Ciutat Vella","el Raval",3493
"2021","Ciutat Vella","la Barceloneta",4288
"2021","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",4496
"2021","Eixample","el Fort Pienc",4001
"2021","Eixample","l'Antiga Esquerra de l'Eixample",5293
"2021","Eixample","la Dreta de l'Eixample",6241
"2021","Eixample","la Nova Esquerra de l'Eixample",4353
"2021","Eixample","la Sagrada Família",3752
"2021","Eixample","Sant Antoni",4255
"2021","Gràcia","el Camp d'en Grassot i Gràcia Nova",4437
"2021","Gràcia","el Coll",3312
"2021","Gràcia","la Salut",4079
"2021","Gràcia","la Vila de Gràcia",4495
"2021","Gràcia","Vallcarca i els Penitents",3914
"2021","Horta-Guinardó","Can Baró",3330
"2021","Horta-Guinardó","el Baix Guinardó",3374
"2021","Horta-Guinardó","el Carmel",2297
